PDF Name,Name,Organisation,Offense Date
Minister For Manpower Instructs Pofma Office to issue Correction Directions.pdf,,,12 and 13 October 2023
Minister for Manpower Instructs Pofma Office To Issue Directions.pdf,dr.ishhaq.jay,TikTok Pte Ltd.,12 August 2023
Minister For National Development Instructs Pofma Office To Issue Correction Direction.pdf,Mr Yeoh Lam Keong,The Online Citizen (TOC),4 and 5 Oct 2022
Minister for National Development Instructs POFMA Office to Issue Correction Directions.pdf,Gilbert Goh,Independent Singapore,19 February 2020
Minister For National Development Instructs Pofma Office To Issue Directions.pdf,dr.ishhaq.jay,TikTok Pte. Ltd.,17 and 18 Aug 2023
Minister for National Development Instructs POFMA Office to Issue Targeted Correction Direction.pdf,The Alternative View,Facebook,4 September 2022
Minister for Social and Family Development Instructs POFMA Office to Issue Correction Direction.pdf,Gilbert Goh,MSF,24 April 2022
Minister for Trade and Industry Instructs POFMA Office to Issue Correction Direction and Targeted Correction.pdf,Mr Alex Tan,States Times Review,30 January 2020
Minister for Transport Instructs POFMA Office To Issue Correction Direction.pdf,Mr Goh Meng Seng,Goh Meng Seng People’s Power Party,26 March 2024
Minister for Transport Instructs POFMA Office to Issue Targeted Correction Direction.pdf,Woodlands MRT,Facebook,28 January 2020
Minister in charge of the People's Association Instructs POFMA Office to Issue Correction Directions.pdf,Henryace Ace,People’s Association,15 February 2020
Minister in charge of the Public Service Instructs POFMA Office To Issue POFMA Directions.pdf,dr.ishhaq.jay,TikTok Pte. Ltd.,17 July 2023
Minister in the PMO and Leader of the House Instructs POFMA Office To Issue Correction.pdf,Mr Pritam Singh,Committee of Privileges,10 February 2022
Minister in the PMO Instructs POFMA Office to cancel POFMA Directions.pdf,,,
Minister in the PMO Instructs POFMA Office to Issue Targeted Correction Direction.pdf,Ms Indranee Rajah,POFMA Office,18 August 2023
Minister in the Prime Minister Office Instructs POFMA Office To Issue Correction Direction.pdf,Iswaran,CPIB,12 July 2023
Minister in the Prime Minister's Office Instructs POFMA Office to Issue Correction Direction.pdf,Ms Indranee Rajah,POFMA Office,18 August 2023
Minister Indranee Rajah Instructs POFMA Office To Issue Correction Direction.pdf,Andrew Loh,TikTok,18 July 2023
Minister Masagos Zulkifli Instructs POFMA Office to Issue Correction Directions.pdf,Mr Leong Mun Wai,MSF,12 February 2024
National Times Singapore Facebook Page Made a Declared Online Location Under POFMA.pdf,Mr Alex Tan,National Times Singapore,29 May 2020
POFMA Office issues warning to woman for COVID 19 falsehood.pdf,47-year-old Singaporean woman,POFMA Office,14 August 2021
POFMA Office issues warning to woman for COVID 19 falsehoods.pdf,,,
POFMA Office Statement on Jolovan Wham.pdf,Jolovan Wham,POFMA Office,22 Oct 2021
Second Minister for Home Affairs Instructs POFMA Office to Issue Correction Directions.pdf,Tangaraju,Tangaraju S/O Suppiah,19 April 2023
Singapore States Times and Alex Tan Facebook Pages Declared as Declared Online Locations Under POFMA.pdf,Alex Tan,NUSSU,7 May 2020
States Times Review Facebook Page Declared as a Declared Online Location Under POFMA.pdf,Alex Tan,The States Times,16 Feb 2020
The Online Citizen Asia Made a Declared Online Location Under POFMA.pdf,Alex Tan,State Times Review,2 May 2023
