headline,link,date,source
Minister in the PMO and Leader of the House Instructs POFMA Office To Issue Correction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-ind-12feb2022-01.pdf,12 FEB 2022,PMO
Minister for Health Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-moh-3dec2021-01.pdf,03 DEC 2021,POFMA Office
Minister for Health Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pofma-29nov2021-01.pdf,29 NOV 2021,POFMA Office
POFMA Office Statement on Jolovan Wham,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pofma-1nov2021-01.pdf,01 NOV 2021,No Source
Minister for Health Instructs POFMA Office to Issue Correction Direction -,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-moh-24oct2021-01.pdf,24 OCT 2021,POFMA Office
Minister for Home Affairs Instructs POFMA Office to Issue Targeted Correction Direction - 9 Oct,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mha-9oct2021-01.pdf,09 OCT 2021,POFMA Office
Minister for Manpower Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mom-8oct2021-01.pdf,08 OCT 2021,POFMA Office
Minister for Home Affairs Instructs POFMA Office to Issue Correction Direction -,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mha-8oct2021-01.pdf,08 OCT 2021,POFMA Office
Minister for Health Instructs POFMA Office to Issue General Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2021/aug/pofma-pr-moh-15aug2021-01.pdf,15 AUG 2021,POFMA Office
Minister for Home Affairs Instructs POFMA Office to Issue Correction Directions and Targeted Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2021/may/pofma-pr-mha-21may2021-01.pdf,21 MAY 2021,POFMA Office
Minister for Health Instructs POFMA Office to Issue General Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2021/may/pofma-pr-moh-20may2021-01.pdf,20 MAY 2021,POFMA Office
Minister for Transport Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2021/may/pofma-pr-mot-07may2021-01.pdf,07 MAY 2021,Transport
Minister for Health Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2021/apr/pofma-pr-moh-15apr2021-01.pdf,15 APR 2021,POFMA Office
Alternate Authority for the Minister for Manpower Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/july/pofma-pr-mom-05jul2020-01.pdf,05 JUL 2020,No Source
Alternate Authority for the Minister in PMO (NPTD) Instructs POFMA Office to Issue Targeted Correction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/july/pofma-pr-pmo-04jul2020-01.pdf,04 JUL 2020,No Source
Alternate Authority for the Minister for National Development Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/july/pofma-pr-mnd-04jul2020-01.pdf,04 JUL 2020,No Source
Alternate Authority for the Minister in PMO (NPTD) Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/july/pofma-pr-pmo-03jul2020-01.pdf,03 JUL 2020,No Source
Alternate Authority for the Minister for Education Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/july/pofma-pr-moe-02july2020-01.pdf,02 JUL 2020,No Source
Alternate Authority for the Minister for Foreign Affairs Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/june/pofma-pr-mfa-29jun2020-01.pdf,29 JUN 2020,No Source
Minister for Communications and Information Directs POFMA Office to Issue Disabling Order,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/may/pofma-pr-mci-30may2020-01.pdf,30 MAY 2020,Communications and Information
National Times Singapore Facebook Page Made a Declared Online Location Under POFMA,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/may/pofma-pr-mci-28may2020-01.pdf,28 MAY 2020,No Source
Minister for Law Instructs POFMA Office to Issue POFMA Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/may/pofma-pr-minlaw-27may2020-01.pdf,27 MAY 2020,POFMA Office
Minister for Law Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/may/pofma-pr-minlaw-13may2020-01.pdf,13 MAY 2020,POFMA Office
Minister for Communications and Information Directs POFMA Office to Issue Disabling Order,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/may/pofma-pr-mci-08may2020-01.pdf,08 MAY 2020,Communications and Information
Singapore States Times and Alex Tan Facebook Pages Declared as Declared Online Locations Under POFMA,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/may/pofma-pr-mci-06may2020-01.pdf,06 MAY 2020,No Source
Minister for Education Instructs POFMA Office to Issue Correction Directions and Targeted Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/may/pofma-pr-moe-05may2020-01.pdf,05 MAY 2020,POFMA Office
Minister for Finance Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/april/pofma-pr-mof-19-apr-2020.pdf,19 APR 2020,POFMA Office
Minister for Health Instructs POFMA Office to Issue Correction Direction and Targeted Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/april/pofma-pr-moh-18apr2020-01.pdf,18 APR 2020,POFMA Office
Minister for Home Affairs Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/april/pofma-pr-mha-17apr2020-01.pdf,17 APR 2020,POFMA Office
Minister for Manpower Instructs POFMA Office to Issue Correction Directions and Targeted Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/april/pofma-pr-mom-06apr2020-01.pdf,06 APR 2020,POFMA Office
Minister for Finance Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/april/pofma-office-cd-mof-media-statement-final.pdf,01 APR 2020,POFMA Office
Minister in charge of the People's Association Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/march/pofma office cd pa media statement final.pdf,18 MAR 2020,People ' s Association
Minister for National Development Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/feb/mnd cd statement 26 feb.pdf,26 FEB 2020,POFMA Office
Minister for Communications and Information Directs POFMA Office to Issue Disabling Order,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/feb/mci access disabling order media statement 17 feb.pdf,17 FEB 2020,Communications and Information
States Times Review Facebook Page Declared as a Declared Online Location Under POFMA,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/feb/mci dol str 15 feb.pdf,15 FEB 2020,No Source
Minister for Health Instructs POFMA Office to Issue Correction Direction and Targeted Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/feb/pofma office cd and tcd media statement 14 feb.pdf,14 FEB 2020,POFMA Office
Minister for Trade and Industry Instructs POFMA Office to Issue Correction Direction and Targeted Correction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/january/mti-cd-tcd-31-jan.pdf,31 JAN 2020,Trade and Industry
Minister for Health Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/january/moh-ab-tc-cd-31-jan.pdf,31 JAN 2020,POFMA Office
Lifting of Temporary Exemptions from General Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/january/mci-lift-gazette-30-jan.pdf,30 JAN 2020,No Source
Minister for Transport Instructs POFMA Office to Issue Targeted Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/january/pofma-office-issue-tcd-28-jan-2020.pdf,28 JAN 2020,Transport
Minister for Health Instructs POFMA Office to Issue General Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/january/pofma-office-gcd-media-statement-27-jan-final.pdf,27 JAN 2020,POFMA Office
Minister for Communications and Information Instructs IMDA to Issue Access Blocking Orders,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/january/mci-imda-abo-23-jan.pdf,23 JAN 2020,Communications and Information
Minister for Home Affairs Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2020/january/mha cd statement.pdf,22 JAN 2020,POFMA Office
Minister for Education Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2019/dec/pofma office cd media statement 16 dec final.pdf,16 DEC 2019,POFMA Office
Minister for Manpower Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2019/dec/pofma office media statement 14 dec final.pdf,14 DEC 2019,POFMA Office
Minister for Home Affairs Instructs POFMA Office to Issue Targeted Correction Direction to Facebook,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2019/nov/pofma%20office%20tcd%20media%20statement%2029%20nov%202019.pdf,29 NOV 2019,POFMA Office
Minister for Home Affairs Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2019/nov/pofma%20office%20media%20statement%2028%20nov%202019.pdf,28 NOV 2019,POFMA Office
Minister for Finance Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/documents/media-releases/2019/nov/pofma%20office%20media%20statement%2025%20nov%202019.pdf,25 NOV 2019,POFMA Office
